"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"icb","NHS Lincolnshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",26,55,81,0.860927152317881,1.80505415162455,-0.944126999306668,32.0987654320988,40.3197626504038,40.6802373495962,-14.3197626504038,0.644845065816368,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Mid and South Essex Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",73,70,143,2.41721854304636,2.29734164752215,0.119876895524205,51.048951048951,71.1818031976265,71.8181968023735,1.81819680237349,1.02554300004631,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Norfolk and Waveney Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",15,86,101,0.496688741721854,2.82244830981293,-2.32575956809108,14.8514851485149,50.2752596011208,50.7247403988792,-35.2752596011208,0.298357484755098,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS North Central London Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",129,42,171,4.27152317880795,1.37840498851329,2.89311819029466,75.4385964912281,85.1194989286303,85.8805010713697,43.8805010713697,1.51551644010689,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS North East and North Cumbria Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",108,223,331,3.57615894039735,7.31867410567772,-3.74251516528036,32.6283987915408,164.763474534366,166.236525465634,-56.7634745343663,0.655485084332046,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS North East London Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",177,84,261,5.86092715231788,2.75680997702658,3.1041171752913,67.816091954023,129.919235206857,131.080764793143,47.0807647931432,1.36238486716906,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS North West London Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",234,97,331,7.74834437086093,3.18345914013784,4.56488523072309,70.6948640483384,164.763474534366,166.236525465634,69.2365254656337,1.42021768271943,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Northamptonshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",44,19,63,1.45695364238411,0.623564161470299,0.833389480913807,69.8412698412698,31.3598153947585,31.6401846052415,12.6401846052415,1.40306948386419,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Nottingham and Nottinghamshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",85,41,126,2.81456953642384,1.34558582212012,1.46898371430372,67.4603174603175,62.7196307895171,63.2803692104829,22.2803692104829,1.35523756964154,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Shropshire, Telford and Wrekin Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",20,30,50,0.662251655629139,0.984574991795208,-0.322323336166069,40,24.8887423767925,25.1112576232075,-4.88874237679248,0.803576158940397,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Somerset Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",39,18,57,1.29139072847682,0.590744995077125,0.700645733399696,68.4210526315789,28.3731663095434,28.6268336904566,10.6268336904566,1.37453816660857,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS South East London Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",147,36,183,4.86754966887417,1.18148999015425,3.68605967871992,80.327868852459,91.0927970990605,91.9072029009395,55.9072029009395,1.61373900770818,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS South West London Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",103,64,167,3.41059602649007,2.10042664916311,1.31016937732695,61.6766467065868,83.1283995384869,83.8716004615131,19.8716004615131,1.23904707142007,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS South Yorkshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",27,139,166,0.894039735099338,4.56186412865113,-3.66782439355179,16.2650602409639,82.6306246909511,83.3693753090489,-55.6306246909511,0.326755365834198,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",67,74,141,2.21854304635762,2.42861831309485,-0.210075266737232,47.5177304964539,70.1862535025548,70.8137464974452,-3.18625350255481,0.954602883847635,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Suffolk and North East Essex Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",19,70,89,0.629139072847682,2.29734164752215,-1.66820257467447,21.3483146067416,44.3019614306906,44.6980385693094,-25.3019614306906,0.428874916288414,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Surrey Heartlands ICB","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",64,34,98,2.11920529801325,1.1158516573679,1.00335364064534,65.3061224489796,48.7819350585133,49.2180649414867,15.2180649414867,1.31196107582106,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Sussex ICB","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",59,97,156,1.95364238410596,3.18345914013784,-1.22981675603188,37.8205128205128,77.6528762155926,78.3471237844074,-18.6528762155926,0.759791560536594,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS West Yorkshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",76,184,260,2.51655629139073,6.03872661634395,-3.52217032495322,29.2307692307692,129.421460359321,130.578539640679,-53.4214603593209,0.587228731533367,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
"current_ods_status","ACTIVE","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",3010,3026,6036,99.6688741721854,99.3107975057434,0.358076666442074,49.8674618952949,3004.56897972639,3031.43102027361,5.43102027361147,1.00180758714819,3.82555553283895,1,0.0251107831649783,"No clear",15.4310202736113,0,0,FALSE,TRUE,TRUE
"current_ods_status","DORMANT","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",10,21,31,0.33112582781457,0.689202494256646,-0.358076666442076,32.258064516129,15.4310202736113,15.5689797263887,-5.43102027361134,0.648045289468062,3.82555553283895,1,0.0251107831649783,"No clear",15.4310202736113,0,0,FALSE,TRUE,TRUE
